sep,vel,a,r,sep_p,vel_p
3,3,1,-5,7,4
7,4,2,-5,10,3
10,3,2,-5,12,2
12,2,2,-5,13,1
13,1,1,-5,15,2
15,2,2,-5,16,1
16,1,1,-5,18,2
18,2,0,0,20,2
20,2,0,0,22,2
22,2,1,-5,25,3
25,3,0,0,28,3
28,3,2,-5,30,2
30,2,0,0,32,2
32,2,2,-5,33,1
33,1,0,0,34,1
34,1,0,0,35,1
35,1,1,-5,37,2
37,2,1,-5,40,3
40,3,1,-5,44,4
44,4,1,-5,49,5
49,5,2,-5,53,4
53,4,2,-5,56,3
56,3,1,-5,60,4
60,4,2,-5,63,3
63,3,2,-5,65,2
65,2,2,-5,66,1
66,1,0,0,67,1
67,1,2,-5,0,0
70,1,0,0,71,1
71,1,2,-5,71,0
71,0,1,-5,72,1
72,1,2,-5,72,0
72,0,1,-5,73,1
73,1,2,-5,73,0
73,0,2,-5,72,-1
72,-1,1,-5,72,0
72,0,2,-5,71,-1
71,-1,2,-5,69,-2
69,-2,2,-5,66,-3
66,-3,2,-5,62,-4
62,-4,1,-5,59,-3
59,-3,2,-5,55,-4
55,-4,0,0,51,-4
51,-4,2,-5,46,-5
46,-5,2,-5,40,-6
40,-6,0,0,34,-6
34,-6,2,-5,27,-7
27,-7,0,0,20,-7
20,-7,2,-5,12,-8
12,-8,2,-5,3,-9
3,-9,0,0,-6,-9
-6,-9,1,-5,-14,-8
-14,-8,2,-5,-23,-9
-23,-9,1,-5,-31,-8
-31,-8,0,0,-39,-8
-39,-8,2,-5,0,0
-39,-5,0,0,-44,-5
-44,-5,2,-5,-50,-6
-50,-6,1,-5,-55,-5
-55,-5,0,0,-60,-5
-60,-5,1,-5,-64,-4
-64,-4,1,-5,-67,-3
-67,-3,0,0,-70,-3
-70,-3,0,0,-73,-3
-73,-3,1,-5,-75,-2
-75,-2,1,-5,-76,-1
-76,-1,0,0,0,0
-71,3,0,0,-68,3
-68,3,0,0,-65,3
-65,3,0,0,-62,3
-62,3,1,-5,-58,4
-58,4,0,0,-54,4
-54,4,1,-5,-49,5
-49,5,2,-5,-45,4
-45,4,1,-5,-40,5
-40,5,1,-5,-34,6
-34,6,1,-5,-27,7
-27,7,0,0,-20,7
-20,7,0,0,-13,7
-13,7,2,-5,-7,6
-7,6,2,-5,-2,5
-2,5,2,-5,2,4
2,4,1,-5,7,5
7,5,1,-5,13,6
13,6,1,-5,20,7
20,7,1,-5,28,8
28,8,1,-5,37,9
37,9,1,-5,47,10
47,10,1,-5,58,11
58,11,0,0,69,11
69,11,1,-5,81,12
81,12,0,0,93,12
93,12,0,0,105,12
105,12,1,-5,118,13
118,13,0,0,131,13
131,13,1,-5,145,14
145,14,2,-5,158,13
158,13,1,-5,0,0
-29,3,0,0,-26,3
-26,3,2,-5,-24,2
-24,2,1,-5,-21,3
-21,3,0,0,-18,3
-18,3,1,-5,-14,4
-14,4,2,-5,-11,3
-11,3,2,-5,-9,2
-9,2,1,-5,-6,3
-6,3,1,-5,-2,4
-2,4,2,-5,1,3
1,3,2,-5,3,2
3,2,1,-5,6,3
6,3,0,0,9,3
9,3,1,-5,13,4
13,4,2,-5,16,3
16,3,2,-5,18,2
18,2,1,-5,21,3
21,3,0,0,24,3
24,3,0,0,27,3
27,3,1,-5,31,4
31,4,1,-5,36,5
36,5,2,-5,40,4
40,4,0,0,44,4
44,4,2,-5,47,3
47,3,2,-5,49,2
49,2,0,0,51,2
51,2,2,-5,52,1
52,1,2,-5,52,0
52,0,0,0,52,0
52,0,0,0,52,0
52,0,2,-5,51,-1
51,-1,1,-5,51,0
51,0,0,0,51,0
51,0,2,-5,50,-1
50,-1,2,-5,0,0
-66,2,0,0,-64,2
-64,2,1,-5,-61,3
-61,3,1,-5,-57,4
-57,4,2,-5,-54,3
-54,3,2,-5,-52,2
-52,2,2,-5,-51,1
-51,1,1,-5,-49,2
-49,2,0,0,-47,2
-47,2,1,-5,-44,3
-44,3,1,-5,-40,4
-40,4,0,0,-36,4
-36,4,1,-5,-31,5
-31,5,1,-5,-25,6
-25,6,2,-5,-20,5
-20,5,0,0,-15,5
-15,5,2,-5,-11,4
-11,4,1,-5,-6,5
-6,5,1,-5,0,6
0,6,0,0,6,6
6,6,1,-5,13,7
13,7,1,-5,21,8
21,8,1,-5,30,9
30,9,0,0,39,9
39,9,0,0,48,9
48,9,2,-5,56,8
56,8,2,-5,63,7
63,7,1,-5,71,8
71,8,2,-5,78,7
78,7,2,-5,84,6
84,6,2,-5,89,5
89,5,1,-5,95,6
95,6,2,-5,100,5
100,5,0,0,105,5
105,5,0,0,110,5
110,5,1,-5,116,6
116,6,2,-5,121,5
121,5,0,0,126,5
126,5,0,0,131,5
131,5,2,-5,135,4
135,4,0,0,139,4
139,4,2,-5,142,3
142,3,1,-5,146,4
146,4,1,-5,151,5
151,5,1,-5,157,6
157,6,1,-5,164,7
164,7,2,-5,170,6
170,6,1,-5,0,0
