s,a,r,sp
1336,1,-2,1370
1370,2,-2,1369
1369,1,-2,1403
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,1,-2,1602
1602,0,0,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,1966
1966,1,-2,0
1242,0,0,1407
1407,0,0,1572
1572,0,0,1737
1737,1,-2,1936
1936,0,0,0
1501,2,-2,1467
1467,0,0,1434
1434,0,0,1401
1401,2,-2,1334
1334,2,-2,1234
1234,2,-2,1101
1101,2,-2,935
935,0,0,0
1437,0,0,1503
1503,0,0,1569
1569,0,0,1635
1635,0,0,1701
1701,0,0,1767
1767,2,-2,1799
1799,1,-2,1866
1866,0,0,1932
1932,1,-2,0
1042,2,-2,1107
1107,1,-2,1207
1207,2,-2,1272
1272,2,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,1469
1469,1,-2,0
1071,1,-2,1072
1072,1,-2,1106
1106,0,0,1139
1139,2,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,1104
1104,1,-2,1105
1105,1,-2,1139
1139,1,-2,1206
1206,0,0,1272
1272,2,-2,1304
1304,0,0,0
1237,0,0,1237
1237,1,-2,1271
1271,1,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,1,-2,1637
1637,1,-2,1803
1803,0,0,0
1367,0,0,1301
1301,2,-2,1201
1201,2,-2,1068
1068,0,0,936
936,1,-2,838
838,0,0,739
739,2,-2,606
606,0,0,474
474,0,0,342
342,1,-2,244
244,2,-2,0
771,0,0,0
1437,0,0,1503
1503,2,-2,1535
1535,1,-2,1602
1602,1,-2,1702
1702,0,0,1801
1801,0,0,1900
1900,0,0,1999
1999,0,0,2098
2098,1,-2,0
1468,1,-2,1502
1502,2,-2,1501
1501,2,-2,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,0,0,1302
1302,1,-2,1303
1303,2,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,2,-2,1069
1069,2,-2,936
936,0,0,804
1234,2,-2,1101
1101,1,-2,1003
1003,2,-2,870
870,0,0,738
738,0,0,606
606,0,0,0
1237,2,-2,1203
1203,2,-2,1136
1136,0,0,1070
1070,0,0,1004
1004,1,-2,972
972,2,-2,905
905,1,-2,873
873,0,0,840
840,1,-2,841
841,0,0,841
841,0,0,841
841,0,0,841
841,0,0,841
841,0,0,841
841,0,0,841
1106,1,-2,1173
1173,0,0,1239
1239,2,-2,1271
1271,2,-2,1270
1270,1,-2,1304
1304,1,-2,1371
1371,1,-2,1471
1471,0,0,1570
1570,1,-2,1703
1703,2,-2,1801
1801,2,-2,1866
1631,2,-2,1531
1531,0,0,1432
1432,0,0,1333
1333,1,-2,1268
1268,2,-2,1168
1168,0,0,1069
1069,2,-2,936
936,0,0,804
804,1,-2,706
706,0,0,607
1764,1,-2,1765
1765,2,-2,1731
1731,0,0,1698
1698,0,0,1665
1665,1,-2,1666
1666,1,-2,1700
1700,0,0,1733
1733,0,0,1766
1766,1,-2,1833
1833,0,0,1899
1899,0,0,1965
1965,1,-2,0
1204,0,0,1204
1204,2,-2,1170
1170,0,0,1137
1137,1,-2,1138
1138,2,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,1,-2,1139
1139,2,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,1,-2,1172
1172,2,-2,1171
1171,0,0,1171
706,1,-2,0
1605,0,0,1770
1770,0,0,1935
1935,1,-2,0
936,2,-2,770
770,0,0,605
605,0,0,0
1828,2,-2,1695
1695,0,0,1563
1563,0,0,1431
1431,0,0,1299
1299,0,0,1167
1167,0,0,1035
1035,2,-2,869
869,0,0,704
704,1,-2,573
573,1,-2,475
475,0,0,376
376,2,-2,0
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1668,0,0,1734
1734,1,-2,1834
1834,1,-2,1967
1967,1,-2,2133
2133,2,-2,2264
2264,0,0,2396
2396,0,0,0
1534,0,0,1534
1534,1,-2,1568
1568,0,0,1601
1601,2,-2,1600
1600,0,0,1600
1600,0,0,1600
1600,1,-2,1634
1634,0,0,1667
1667,0,0,1700
1700,0,0,1733
1596,1,-2,1498
1498,0,0,1399
1399,2,-2,1266
1266,0,0,1134
1134,0,0,1002
1002,2,-2,836
836,2,-2,637
637,0,0,0
1565,1,-2,1533
1533,0,0,1500
1500,1,-2,1501
1501,0,0,1501
1501,2,-2,1467
1467,0,0,1434
1434,2,-2,1367
1367,0,0,1301
1301,0,0,1235
1235,2,-2,1135
1135,2,-2,1002
1002,1,-2,904
904,1,-2,839
839,2,-2,0
1340,2,-2,1438
1438,2,-2,1503
1503,0,0,1569
1569,0,0,1635
1635,0,0,0
1762,0,0,1663
1663,1,-2,1598
1598,0,0,1532
1532,0,0,1466
1466,2,-2,1366
1366,0,0,1267
1267,2,-2,1134
1134,2,-2,968
968,2,-2,769
769,0,0,571
571,2,-2,339
339,0,0,0
874,0,0,874
874,2,-2,840
840,2,-2,773
773,0,0,707
707,0,0,641
641,0,0,575
575,0,0,509
509,0,0,443
443,0,0,377
377,0,0,311
311,0,0,245
245,0,0,0
1499,1,-2,1467
1467,2,-2,1400
1400,0,0,1334
1334,2,-2,1234
1234,1,-2,1169
1169,2,-2,1069
1069,1,-2,1004
1004,0,0,938
938,0,0,872
872,2,-2,772
772,0,0,673
1265,2,-2,1066
1066,1,-2,902
902,0,0,737
737,0,0,0
1270,1,-2,1304
1304,2,-2,1303
1303,1,-2,1337
1337,0,0,1370
1370,1,-2,1437
1437,0,0,1503
1503,0,0,1569
1569,0,0,1635
1635,2,-2,1667
1667,1,-2,1734
1734,1,-2,1834
1834,1,-2,0
1138,2,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,0,0,1005
1005,0,0,972
972,1,-2,973
973,0,0,973
973,0,0,973
