s,a,r,sp
1007,1,-2,1074
1074,1,-2,1174
1174,0,0,1273
1273,0,0,1372
1372,0,0,1471
1471,1,-2,1604
1604,0,0,1736
1736,2,-2,1834
1834,0,0,1933
1933,0,0,0
1038,1,-2,1039
1039,1,-2,1073
1073,0,0,1106
1106,2,-2,1105
1105,0,0,1105
1105,2,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,2,-2,938
938,0,0,872
872,0,0,806
806,0,0,0
1333,1,-2,1268
1268,0,0,1202
1202,0,0,1136
1136,1,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,0,0,0
1265,0,0,1100
1100,1,-2,969
969,1,-2,871
871,0,0,0
1471,0,0,1570
1570,2,-2,1635
1635,1,-2,1735
1735,1,-2,1868
1868,0,0,2000
2000,2,-2,0
1236,1,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,1,-2,1271
1271,0,0,1304
1304,0,0,1337
1337,1,-2,1404
1404,1,-2,1504
1504,0,0,0
1465,1,-2,1400
1400,2,-2,1300
1300,1,-2,1235
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,1,-2,1005
1005,2,-2,938
938,2,-2,0
1073,1,-2,1140
1140,0,0,1206
1206,0,0,1272
1272,2,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,1,-2,1470
1470,1,-2,1570
1570,0,0,1669
1669,0,0,1768
772,0,0,673
673,0,0,0
1333,0,0,1234
1234,1,-2,1169
1169,0,0,1103
1103,2,-2,1003
1003,0,0,904
904,0,0,805
805,2,-2,0
1662,0,0,1530
1530,1,-2,1432
1432,2,-2,1299
1299,0,0,1167
1167,0,0,1035
1035,0,0,903
903,0,0,771
771,0,0,0
1370,0,0,1403
1403,1,-2,1470
1470,0,0,1536
1536,1,-2,1636
1636,2,-2,1701
1701,2,-2,1733
1733,0,0,1766
1766,1,-2,1833
1833,0,0,1899
1899,0,0,1965
1965,0,0,2031
1499,1,-2,1467
1467,0,0,1434
1434,2,-2,1367
1367,0,0,1301
1301,1,-2,1269
1269,2,-2,1202
1202,1,-2,1170
1170,0,0,1137
1137,0,0,1104
1104,2,-2,1037
1037,0,0,971
971,0,0,905
1435,2,-2,1401
1401,2,-2,1334
1334,1,-2,1302
1302,1,-2,1303
1303,0,0,1303
1303,2,-2,1269
1269,0,0,1236
1236,0,0,1203
1203,2,-2,1136
1136,0,0,1070
1070,0,0,1004
1004,2,-2,904
1472,2,-2,1570
1570,0,0,1669
1669,0,0,1768
1768,0,0,0
1472,0,0,1604
1604,1,-2,1770
1770,2,-2,1901
1901,2,-2,0
1138,0,0,1138
1138,1,-2,1172
1172,0,0,1205
1205,2,-2,1204
1204,2,-2,1170
1170,2,-2,1103
1103,0,0,1037
1037,0,0,971
971,1,-2,939
939,1,-2,940
940,0,0,940
940,0,0,940
940,1,-2,974
974,0,0,1007
1007,1,-2,1074
1074,2,-2,1106
1106,1,-2,1173
1173,1,-2,1273
1273,0,0,1372
1202,0,0,1136
1136,1,-2,1104
1104,1,-2,1105
1105,1,-2,1139
1139,0,0,1172
1172,0,0,1205
1205,2,-2,1204
1204,2,-2,1170
1170,1,-2,0
1535,0,0,1568
1568,1,-2,1635
1635,0,0,1701
1701,0,0,1767
1767,1,-2,1867
1867,0,0,1966
1966,2,-2,2031
2031,2,-2,2063
2063,0,0,2096
2096,0,0,2129
2129,2,-2,2128
2128,0,0,2128
2128,2,-2,2094
2094,2,-2,0
1372,1,-2,1505
1505,2,-2,1603
1603,0,0,1702
1702,2,-2,1767
1767,2,-2,1799
1799,0,0,1832
1832,0,0,0
902,0,0,737
737,1,-2,0
1666,2,-2,1632
1632,0,0,1599
1599,0,0,1566
1566,2,-2,1499
1499,1,-2,1467
1467,2,-2,1400
1400,0,0,1334
1334,1,-2,1302
1302,1,-2,1303
1303,0,0,1303
1303,0,-5000,0
1599,1,-2,1600
1600,1,-2,1634
1634,0,0,1667
1667,1,-2,1734
1734,1,-2,1834
1834,2,-2,1899
1899,1,-2,1999
1999,0,0,0
1074,0,0,1140
1140,0,0,1206
1206,0,0,1272
1272,1,-2,1372
1372,0,0,1471
1471,0,0,1570
1570,1,-2,1703
1703,2,-2,1801
1801,1,-2,1934
1934,0,0,2066
939,1,-2,940
940,0,0,940
940,0,0,940
940,0,0,940
