s,a,r,sp
1566,1,-2,1567
1567,1,-2,1601
1601,1,-2,1668
1668,1,-2,1768
1768,1,-2,1901
1901,1,-2,0
970,2,-2,837
837,1,-2,739
739,1,-2,674
674,2,-2,0
1469,2,-2,1468
1468,0,0,1468
1468,1,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1668,2,-2,1700
1700,0,0,1733
1733,0,0,1766
1766,0,0,1799
1799,2,-2,1798
1798,1,-2,1832
1832,0,0,1865
1865,0,0,1898
1898,0,0,0
973,0,0,973
973,0,0,973
973,0,0,973
973,2,-2,939
939,2,-2,872
872,0,0,806
806,2,-2,706
706,0,0,607
607,2,-2,474
474,0,0,342
342,1,-2,0
1566,1,-2,1567
1567,0,0,1567
1567,0,0,1567
1567,1,-2,1601
1601,1,-2,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,0
1173,0,0,1239
1239,0,0,1305
1305,0,0,1371
1371,2,-2,1403
1403,0,0,1436
1436,1,-2,1503
1503,0,0,1569
1569,0,0,1635
1635,1,-2,1735
1735,1,-2,1868
1868,1,-2,2034
2034,1,-2,2233
2233,0,0,0
1432,2,-2,1299
1299,0,0,1167
1167,0,0,1035
1035,2,-2,869
869,0,0,704
704,2,-2,505
505,0,0,307
307,0,0,0
1137,0,0,1104
1104,0,0,1071
1071,1,-2,1072
1072,0,0,1072
1072,2,-2,1038
1038,2,-2,971
971,2,-2,871
871,0,0,772
772,0,0,673
673,2,-2,540
540,0,0,408
408,1,-2,310
310,1,-2,245
245,1,-2,213
213,0,0,0
1634,2,-2,1633
1633,0,0,1633
1633,0,0,1633
1633,1,-2,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,1,-2,1833
1833,1,-2,1933
1933,0,0,2032
2032,0,0,0
874,2,-2,840
840,1,-2,841
841,2,-2,807
807,0,0,774
774,2,-2,707
707,0,0,641
641,0,0,575
575,1,-2,543
543,0,0,510
510,0,0,477
477,0,0,444
444,0,0,411
411,1,-2,412
412,0,0,412
412,2,-2,378
1831,0,0,1831
1831,1,-2,1865
1865,2,-2,1864
1864,1,-2,1898
1898,0,0,1931
1931,1,-2,1998
1998,0,0,2064
2064,1,-2,2164
2164,1,-2,2297
2297,1,-2,2463
2463,0,0,0
1003,1,-2,938
938,0,0,872
872,2,-2,772
772,0,0,0
1043,1,-2,1209
1209,0,0,1374
1374,2,-2,1505
1505,2,-2,1603
1603,1,-2,1736
1736,0,0,1868
1868,1,-2,2034
2034,2,-2,0
1468,2,-2,1434
1434,1,-2,1435
1435,0,0,1435
1435,0,0,1435
1435,2,-2,1401
1401,1,-2,1402
1402,2,-2,1368
1368,2,-2,1301
1301,1,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,0,0,0
1301,0,0,1235
1235,0,0,1169
1169,2,-2,1069
1069,2,-2,936
936,0,0,804
804,0,0,672
672,0,0,540
540,0,0,408
408,2,-2,242
242,0,0,0
1670,0,0,1802
1802,2,-2,1900
1900,0,0,0
1270,0,0,1270
1270,1,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,1,-2,1569
1569,0,0,1635
1635,0,0,1701
1701,0,0,1767
1767,2,-2,1799
1799,1,-2,1866
1866,2,-2,1898
1898,1,-2,0
1696,2,-2,1563
1563,0,0,1431
1431,1,-2,1333
1333,2,-2,1200
1200,0,0,1068
1068,0,0,936
936,2,-2,770
770,2,-2,571
571,1,-2,407
407,0,0,242
242,0,0,0
978,1,-2,1177
1177,0,0,1375
1375,2,-2,1539
1539,0,0,1704
1704,1,-2,1903
1903,0,0,2101
2101,2,-2,0
1798,0,0,1798
1798,0,0,1798
1798,1,-2,1832
1832,0,0,1865
1865,1,-2,1932
1932,1,-2,2032
2032,1,-2,2165
2165,0,0,2297
2297,0,0,2429
2429,0,0,0
1763,1,-2,1731
1731,1,-2,1732
1732,0,0,1732
1732,0,0,1732
1732,1,-2,1766
1766,0,0,1799
1799,2,-2,1798
1798,2,-2,1764
1764,0,0,1731
1731,0,0,1698
1068,1,-2,970
970,1,-2,905
905,2,-2,805
805,2,-2,0
773,2,-2,673
673,1,-2,0
1503,1,-2,1603
1603,2,-2,1668
1668,2,-2,1700
1700,2,-2,1699
1699,1,-2,1733
1733,0,0,1766
1766,0,0,1799
1799,0,0,0
1431,0,0,1299
1299,1,-2,1201
1201,1,-2,1136
1136,2,-2,1036
1036,0,0,937
937,0,0,0
1601,2,-2,1600
1600,0,0,1600
1600,1,-2,1634
1634,2,-2,1633
1633,2,-2,1599
1599,0,0,1566
1566,1,-2,1567
1567,0,0,1567
1567,0,0,1567
1567,2,-2,1533
1533,2,-2,1466
1466,0,0,0
1531,2,-2,1398
1398,0,0,1266
1266,1,-2,1168
1168,0,0,1069
1069,2,-2,936
936,2,-2,770
770,0,0,605
605,0,0,440
440,0,0,0
1566,1,-2,1567
1567,0,0,1567
1567,1,-2,1601
1601,0,0,1634
1634,2,-2,1633
1633,0,0,1633
1633,2,-2,1599
1599,2,-2,1532
1532,1,-2,1500
1500,0,0,1467
1467,2,-2,1400
1400,2,-2,1300
1300,1,-2,1235
1235,2,-2,1135
1135,1,-2,1070
1070,0,0,1004
808,0,0,808
808,0,0,808
808,1,-2,842
842,1,-2,909
909,2,-2,941
941,0,0,974
974,1,-2,1041
1041,1,-2,1141
1141,2,-2,1206
1206,2,-2,1238
1238,0,0,1271
1271,2,-2,1270
1270,2,-2,1236
1236,2,-2,1169
1169,1,-2,1137
1137,2,-2,1070
1070,0,0,1004
1106,1,-2,1173
1173,1,-2,1273
1273,2,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,0,0,1801
1801,0,0,1900
1900,0,0,1999
1999,1,-2,0
1109,1,-2,1275
1275,0,0,1440
1440,0,0,1605
1605,0,0,1770
1770,1,-2,1969
1969,0,0,2167
2167,0,0,0
1173,1,-2,1273
1273,2,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,2,-2,1569
1569,0,0,1635
1635,0,0,1701
1701,1,-2,1801
1801,1,-2,1934
1934,1,-2,2100
2100,0,0,2265
1538,2,-2,1636
1636,1,-2,1769
1769,0,0,1901
1901,1,-2,0
1036,1,-2,971
971,0,0,905
905,1,-2,873
873,1,-2,0
1367,0,0,1301
1301,0,0,1235
1235,0,0,1169
1169,1,-2,1137
1137,0,0,1104
1104,2,-2,1037
1037,0,0,971
971,1,-2,939
939,2,-2,872
872,2,-2,772
772,0,0,0
1435,0,0,1435
1435,1,-2,1469
1469,0,0,1502
1502,1,-2,1569
1569,0,0,1635
1635,0,0,1701
1701,0,0,1767
1767,0,0,1833
1833,2,-2,1865
1865,0,0,1898
1898,1,-2,1965
1965,1,-2,2065
2065,0,0,0
1168,2,-2,1035
1035,0,0,903
903,0,0,771
771,1,-2,673
673,1,-2,608
608,1,-2,0
1596,2,-2,1430
1430,0,0,1265
1265,2,-2,1066
1066,0,0,868
868,0,0,670
670,0,0,472
472,2,-2,240
240,0,0,0
1270,0,0,1270
1270,0,0,1270
1270,1,-2,1304
1304,0,0,1337
1337,1,-2,1404
1404,2,-2,1436
1436,1,-2,1503
1503,1,-2,1603
1603,1,-2,1736
1736,0,0,1868
1040,0,0,1073
1073,1,-2,1140
1140,2,-2,1172
1172,2,-2,1171
1171,0,0,1171
1171,1,-2,1205
1205,2,-2,1204
1204,1,-2,1238
1238,1,-2,1305
1305,1,-2,1405
1405,1,-2,1538
1538,0,0,1670
1670,1,-2,1836
1836,1,-2,2035
2035,2,-2,0
1202,0,0,1136
1136,0,0,1070
1070,1,-2,1038
1038,0,0,1005
1005,1,-2,1006
1006,0,0,1006
1006,0,0,1006
1006,2,-2,972
972,0,0,0
1400,0,0,1334
1334,0,0,1268
1268,1,-2,1236
1236,1,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,2,-2,1203
1203,1,-2,1204
1204,0,0,1204
1204,2,-2,1170
1170,0,0,1137
